Date_Recorded,Year_Recorded,Month_Recorded,Unemployment_Rate
1/31/2005,2005,1,0.04
2/28/2005,2005,2,0.041
3/31/2005,2005,3,0.039
4/30/2005,2005,4,0.039
5/31/2005,2005,5,0.04
6/30/2005,2005,6,0.045
7/31/2005,2005,7,0.041
8/31/2005,2005,8,0.041
9/30/2005,2005,9,0.035
10/31/2005,2005,10,0.033
11/30/2005,2005,11,0.034
12/31/2005,2005,12,0.032
1/31/2006,2006,1,0.035
2/28/2006,2006,2,0.036
3/31/2006,2006,3,0.041
4/30/2006,2006,4,0.04
5/31/2006,2006,5,0.041
6/30/2006,2006,6,0.047
7/31/2006,2006,7,0.044
8/31/2006,2006,8,0.042
9/30/2006,2006,9,0.038
10/31/2006,2006,10,0.036
11/30/2006,2006,11,0.038
12/31/2006,2006,12,0.034
1/31/2007,2007,1,0.038
2/28/2007,2007,2,0.038
3/31/2007,2007,3,0.035
4/30/2007,2007,4,0.035
5/31/2007,2007,5,0.036
6/30/2007,2007,6,0.044
7/31/2007,2007,7,0.042
8/31/2007,2007,8,0.039
9/30/2007,2007,9,0.038
10/31/2007,2007,10,0.034
11/30/2007,2007,11,0.034
12/31/2007,2007,12,0.034
1/31/2008,2008,1,0.037
2/29/2008,2008,2,0.036
3/31/2008,2008,3,0.036
4/30/2008,2008,4,0.032
5/31/2008,2008,5,0.037
6/30/2008,2008,6,0.046
7/31/2008,2008,7,0.044
8/31/2008,2008,8,0.045
9/30/2008,2008,9,0.043
10/31/2008,2008,10,0.045
11/30/2008,2008,11,0.042
12/31/2008,2008,12,0.042
1/31/2009,2009,1,0.052
2/28/2009,2009,2,0.054
3/31/2009,2009,3,0.053
4/30/2009,2009,4,0.05
5/31/2009,2009,5,0.059
6/30/2009,2009,6,0.073
7/31/2009,2009,7,0.072
8/31/2009,2009,8,0.07
9/30/2009,2009,9,0.068
10/31/2009,2009,10,0.063
11/30/2009,2009,11,0.063
12/31/2009,2009,12,0.062
1/31/2010,2010,1,0.068
2/28/2010,2010,2,0.065
3/31/2010,2010,3,0.065
4/30/2010,2010,4,0.064
5/31/2010,2010,5,0.062
6/30/2010,2010,6,0.068
7/31/2010,2010,7,0.067
8/31/2010,2010,8,0.066
9/30/2010,2010,9,0.063
10/31/2010,2010,10,0.062
11/30/2010,2010,11,0.064
12/31/2010,2010,12,0.061
1/31/2011,2011,1,0.066
2/28/2011,2011,2,0.061
3/31/2011,2011,3,0.06
4/30/2011,2011,4,0.059
5/31/2011,2011,5,0.06
6/30/2011,2011,6,0.07
7/31/2011,2011,7,0.068
8/31/2011,2011,8,0.068
9/30/2011,2011,9,0.062
10/31/2011,2011,10,0.058
11/30/2011,2011,11,0.055
12/31/2011,2011,12,0.054
1/31/2012,2012,1,0.057
2/29/2012,2012,2,0.056
3/31/2012,2012,3,0.053
4/30/2012,2012,4,0.051
5/31/2012,2012,5,0.054
6/30/2012,2012,6,0.06
7/31/2012,2012,7,0.062
8/31/2012,2012,8,0.056
9/30/2012,2012,9,0.05
10/31/2012,2012,10,0.05
11/30/2012,2012,11,0.05
12/31/2012,2012,12,0.049
1/31/2013,2013,1,0.054
2/28/2013,2013,2,0.051
3/31/2013,2013,3,0.05
4/30/2013,2013,4,0.048
5/31/2013,2013,5,0.05
6/30/2013,2013,6,0.058
7/31/2013,2013,7,0.055
8/31/2013,2013,8,0.051
9/30/2013,2013,9,0.047
10/31/2013,2013,10,0.046
11/30/2013,2013,11,0.043
12/31/2013,2013,12,0.04
1/31/2014,2014,1,0.043
2/28/2014,2014,2,0.046
3/31/2014,2014,3,0.043
4/30/2014,2014,4,0.038
5/31/2014,2014,5,0.041
6/30/2014,2014,6,0.046
7/31/2014,2014,7,0.046
8/31/2014,2014,8,0.042
9/30/2014,2014,9,0.038
10/31/2014,2014,10,0.036
11/30/2014,2014,11,0.034
12/31/2014,2014,12,0.03
1/31/2015,2015,1,0.037
2/28/2015,2015,2,0.033
3/31/2015,2015,3,0.032
4/30/2015,2015,4,0.03
5/31/2015,2015,5,0.032
6/30/2015,2015,6,0.035
7/31/2015,2015,7,0.035
8/31/2015,2015,8,0.031
9/30/2015,2015,9,0.032
10/31/2015,2015,10,0.033
11/30/2015,2015,11,0.034
